fish_name,species_name,temp_desc,temperature,date_catched
Dilis,Stolephorus commersonnii,3,27.6,2024-11-04
Bisugo,Nemipterus bathybius,1,19.7,2024-11-05
Danggit,Siganus vermiculatusi,3,26.3,2024-11-06
Tamban,Sardinella lemuru,3,24.1,2024-11-07
Malasugi,Istiophorus platypterus,1,19.4,2024-11-08
Dilis,Stolephorus commersonnii,3,27.2,2024-11-09
Bisugo,Nemipterus bathybius,1,21.5,2024-11-10
Danggit,Siganus vermiculatusi,3,25.5,2024-11-11
Tamban,Sardinella lemuru,3,23.1,2024-11-12
Malasugi,Istiophorus platypterus,1,19,2024-11-13
Dilis,Stolephorus commersonnii,3,26.8,2024-11-14
Bisugo,Nemipterus bathybius,1,20.3,2024-11-15
Danggit,Siganus vermiculatusi,3,25.2,2024-11-16
Tamban,Sardinella lemuru,3,23.8,2024-11-17
Malasugi,Istiophorus platypterus,1,20.6,2024-11-18
Dilis,Stolephorus commersonnii,3,27.7,2024-11-19
Bisugo,Nemipterus bathybius,1,21.2,2024-11-20
Danggit,Siganus vermiculatusi,3,25.6,2024-11-21
Tamban,Sardinella lemuru,3,24,2024-11-22
Malasugi,Istiophorus platypterus,1,20.5,2024-11-23
Dilis,Stolephorus commersonnii,3,27,2024-11-24
Bisugo,Nemipterus bathybius,1,20.8,2024-11-25
Danggit,Siganus vermiculatusi,3,25.9,2024-11-26
Tamban,Sardinella lemuru,3,22.9,2024-11-27
Malasugi,Istiophorus platypterus,1,18.9,2024-11-28
Dilis,Stolephorus commersonnii,3,26.6,2024-11-28
Bisugo,Nemipterus bathybius,1,20.9,2024-11-28
Danggit,Siganus vermiculatusi,3,26.2,2024-11-01
Tamban,Sardinella lemuru,3,23.9,2024-11-02
Malasugi,Istiophorus platypterus,1,19.5,2024-11-03
Dilis,Stolephorus commersonnii,3,27.5,2024-11-04
Bisugo,Nemipterus bathybius,1,21,2024-11-05
Danggit,Siganus vermiculatusi,3,26.3,2024-11-06
Tamban,Sardinella lemuru,3,23.7,2024-11-07
Malasugi,Istiophorus platypterus,1,19.4,2024-11-08
Dilis,Stolephorus commersonnii,3,27.4,2024-11-09
Bisugo,Nemipterus bathybius,1,21.3,2024-11-10
Danggit,Siganus vermiculatusi,3,26,2024-11-11
Tamban,Sardinella lemuru,3,22.7,2024-11-12
Malasugi,Istiophorus platypterus,1,20,2024-11-13
Dilis,Stolephorus commersonnii,3,26.6,2024-11-14
Bisugo,Nemipterus bathybius,1,20.7,2024-11-15
Danggit,Siganus vermiculatusi,3,25.9,2024-11-16
Tamban,Sardinella lemuru,3,23.1,2024-11-17
Malasugi,Istiophorus platypterus,1,18.9,2024-11-18
Dilis,Stolephorus commersonnii,3,27.8,2024-11-19
Bisugo,Nemipterus bathybius,1,20.8,2024-11-20
Danggit,Siganus vermiculatusi,3,26.1,2024-11-21
Tamban,Sardinella lemuru,3,24,2024-11-22
Malasugi,Istiophorus platypterus,1,20.2,2024-11-23
Dilis,Stolephorus commersonnii,3,26.9,2024-11-24
Bisugo,Nemipterus bathybius,1,20.6,2024-11-25
Danggit,Siganus vermiculatusi,3,25.6,2024-11-26
Tamban,Sardinella lemuru,3,23.2,2024-11-27
Malasugi,Istiophorus platypterus,1,19,2024-11-28
Dilis,Stolephorus commersonnii,3,27,2024-11-28
Bisugo,Nemipterus bathybius,1,21,2024-11-28
Danggit,Siganus vermiculatusi,3,26.2,2024-11-01
Tamban,Sardinella lemuru,3,23.9,2024-11-02
Malasugi,Istiophorus platypterus,1,19.5,2024-11-03
Dilis,Stolephorus commersonnii,3,27.5,2024-11-04
Bisugo,Nemipterus bathybius,1,21,2024-11-05
Danggit,Siganus vermiculatusi,3,26.1,2024-11-06
Tamban,Sardinella lemuru,3,23.4,2024-11-07
Malasugi,Istiophorus platypterus,1,20.3,2024-11-08
Dilis,Stolephorus commersonnii,3,27.2,2024-11-09
Bisugo,Nemipterus bathybius,1,20.7,2024-11-10
Danggit,Siganus vermiculatusi,3,25.8,2024-11-11
Tamban,Sardinella lemuru,3,23.1,2024-11-12
Malasugi,Istiophorus platypterus,1,20,2024-11-13
Dilis,Stolephorus commersonnii,3,27.4,2024-11-14
Bisugo,Nemipterus bathybius,1,21.1,2024-11-15
Danggit,Siganus vermiculatusi,3,25.5,2024-11-16
Tamban,Sardinella lemuru,3,23,2024-11-17
Malasugi,Istiophorus platypterus,1,19.9,2024-11-18
Dilis,Stolephorus commersonnii,3,27.3,2024-11-19
Bisugo,Nemipterus bathybius,1,20.6,2024-11-20
Danggit,Siganus vermiculatusi,3,26,2024-11-21
Tamban,Sardinella lemuru,3,23.6,2024-11-22
Malasugi,Istiophorus platypterus,1,20.2,2024-11-23
Dilis,Stolephorus commersonnii,3,27.1,2024-11-24
Bisugo,Nemipterus bathybius,1,21.2,2024-11-25
Danggit,Siganus vermiculatusi,3,25.6,2024-11-26
Tamban,Sardinella lemuru,3,22.8,2024-11-27
Malasugi,Istiophorus platypterus,1,19.6,2024-11-28
Dilis,Stolephorus commersonnii,3,26.8,2024-11-28
Bisugo,Nemipterus bathybius,1,21,2024-11-28
